# Blocco	Energia Media	Errore Energia	Pressione Media	Errore Pressione
214	-7.55273	0.0113022	9.45193	0.0615421
215	-7.55258	0.0112507	9.45266	0.0612603
216	-7.55222	0.0112043	9.45452	0.0610049
217	-7.55209	0.0111535	9.45532	0.0607291
218	-7.55198	0.0111028	9.4561	0.0604555
219	-7.55192	0.0110523	9.45652	0.0601809
220	-7.55174	0.0110035	9.4575	0.0599152
221	-7.55144	0.0109579	9.45942	0.0596749
222	-7.5515	0.0109088	9.45937	0.0594061
223	-7.55163	0.0108606	9.45899	0.0591409
224	-7.55149	0.010813	9.46007	0.0588866
225	-7.55169	0.0107668	9.45915	0.058632
226	-7.55183	0.0107202	9.45845	0.0583767
227	-7.55207	0.0106755	9.4572	0.0581329
228	-7.55203	0.0106287	9.45745	0.0578785
229	-7.55213	0.0105828	9.45672	0.0576303
230	-7.55232	0.0105385	9.45553	0.0573921
231	-7.55235	0.0104929	9.45532	0.057144
232	-7.55266	0.0104522	9.45359	0.0569236
233	-7.55287	0.0104095	9.45241	0.0566917
234	-7.55326	0.0103724	9.45023	0.0564912
235	-7.55368	0.0103366	9.44799	0.0562951
236	-7.55419	0.0103055	9.4453	0.0561208
237	-7.55485	0.0102829	9.44166	0.0560019
238	-7.55531	0.0102501	9.43911	0.0558247
239	-7.55555	0.0102099	9.43769	0.0556091
240	-7.55566	0.010168	9.43701	0.0553816
241	-7.55599	0.0101311	9.43523	0.0551806
242	-7.55608	0.0100897	9.43464	0.0549557
243	-7.55597	0.0100489	9.43525	0.0547329
244	-7.55579	0.0100092	9.43629	0.0545184
245	-7.55579	0.00996834	9.43622	0.0542959
246	-7.55617	0.00993497	9.43415	0.0541148
247	-7.55631	0.00989574	9.43342	0.0539007
248	-7.55655	0.00985869	9.4321	0.0536993
249	-7.55652	0.00981913	9.43232	0.0534841
250	-7.5566	0.00978014	9.43212	0.0532705
251	-7.55677	0.00974272	9.43136	0.0530636
252	-7.55706	0.00970819	9.43003	0.0528698
253	-7.55729	0.00967252	9.42897	0.0526714
254	-7.55725	0.00963451	9.42928	0.052465
255	-7.55721	0.00959682	9.42969	0.0522608
256	-7.55715	0.00955948	9.43	0.0520576
257	-7.5571	0.00952246	9.43037	0.0518564
258	-7.55686	0.00948857	9.43171	0.0516726
259	-7.55663	0.00945456	9.43296	0.0514883
260	-7.5565	0.00941912	9.43379	0.0512969
261	-7.55637	0.00938396	9.43458	0.0511064
262	-7.55621	0.00934956	9.43569	0.0509235
263	-7.55618	0.00931404	9.43589	0.0507302
264	-7.55579	0.00928697	9.43829	0.0505949
265	-7.55539	0.00926071	9.44068	0.0504599
266	-7.55488	0.00923987	9.44363	0.0503565
267	-7.5543	0.00922314	9.44682	0.0502687
268	-7.55351	0.00922289	9.45145	0.0502943
269	-7.55299	0.00920327	9.45456	0.0502032
270	-7.5528	0.00917104	9.45575	0.0500315
271	-7.55258	0.00913999	9.45721	0.0498682
272	-7.55236	0.00910899	9.45861	0.0497045
273	-7.55223	0.00907661	9.45922	0.0495262
274	-7.55232	0.00904392	9.45875	0.0493477
275	-7.55248	0.00901245	9.45791	0.0491754
276	-7.55241	0.00898005	9.45825	0.0489984
277	-7.55236	0.00894777	9.45846	0.0488219
278	-7.5523	0.00891575	9.45879	0.0486474
279	-7.5526	0.0088887	9.45714	0.0485009
280	-7.55268	0.00885734	9.45677	0.0483291
281	-7.55279	0.00882652	9.45621	0.0481603
282	-7.5526	0.0087973	9.4573	0.0480018
283	-7.55238	0.00876904	9.45853	0.0478478
284	-7.55236	0.00873819	9.45872	0.0476797
285	-7.55235	0.00870753	9.45882	0.0475125
286	-7.55248	0.00867798	9.45816	0.0473511
287	-7.55235	0.00864866	9.45885	0.0471911
288	-7.55253	0.00862042	9.45786	0.0470377
289	-7.55226	0.00859462	9.45942	0.0469008
290	-7.5521	0.00856661	9.46041	0.0467497
291	-7.55187	0.00854016	9.46177	0.0466089
292	-7.5518	0.00851119	9.46233	0.0464526
293	-7.55181	0.00848215	9.46243	0.0462942
294	-7.55162	0.00845552	9.46361	0.0461519
295	-7.5514	0.00842953	9.46498	0.0460158
296	-7.55116	0.00840453	9.46634	0.0458803
297	-7.55101	0.00837769	9.46717	0.0457334
298	-7.55098	0.00834961	9.4674	0.0455805
299	-7.55107	0.00832215	9.46696	0.0454301
300	-7.55125	0.00829633	9.4659	0.0452911
301	-7.55131	0.00826903	9.46547	0.0451426
302	-7.55139	0.00824205	9.4649	0.0449968
303	-7.55181	0.00822548	9.46248	0.044913
304	-7.55229	0.00821195	9.4597	0.0448514
305	-7.55261	0.00819131	9.4579	0.0447404
306	-7.55291	0.00817024	9.45625	0.0446247
307	-7.5532	0.00814883	9.45457	0.044511
308	-7.55363	0.00813367	9.45206	0.0444371
309	-7.55377	0.00810848	9.45118	0.0443021
310	-7.55389	0.00808326	9.45038	0.0441663
311	-7.55407	0.00805916	9.44931	0.0440372
312	-7.55419	0.00803422	9.44852	0.0439031
313	-7.55427	0.00800898	9.44807	0.0437652
314	-7.5546	0.00799014	9.44622	0.0436647
315	-7.55514	0.00798305	9.44321	0.0436301
316	-7.55547	0.00796449	9.44146	0.043527
317	-7.55618	0.0079712	9.43762	0.0435592
318	-7.55677	0.00796824	9.43434	0.0435457
319	-7.55726	0.00795821	9.43154	0.0434987
320	-7.55755	0.00793863	9.42992	0.0433929
321	-7.55763	0.00791429	9.42949	0.0432598
322	-7.55772	0.00789017	9.42906	0.0431276
323	-7.55774	0.00786579	9.42894	0.0429942
324	-7.55768	0.00784177	9.42929	0.0428629
325	-7.5577	0.00781766	9.42914	0.0427313
326	-7.55799	0.00779899	9.4275	0.0426319
327	-7.55846	0.00778933	9.42484	0.0425842
328	-7.55879	0.00777279	9.42299	0.0424944
329	-7.55907	0.00775404	9.42152	0.0423909
330	-7.55925	0.00773261	9.42057	0.042273
331	-7.55946	0.0077123	9.41942	0.0421609
332	-7.55966	0.00769151	9.41828	0.0420492
333	-7.55994	0.00767347	9.41667	0.0419539
334	-7.56025	0.00765704	9.41494	0.0418641
335	-7.56065	0.00764431	9.41285	0.0417913
336	-7.56119	0.00764117	9.40988	0.0417721
337	-7.56143	0.0076222	9.40873	0.0416641
338	-7.56158	0.00760099	9.40807	0.041546
339	-7.56164	0.0075788	9.40789	0.0414238
340	-7.56181	0.0075586	9.40696	0.0413124
341	-7.56209	0.00754141	9.40548	0.0412178
342	-7.56239	0.00752526	9.40384	0.0411299
343	-7.56276	0.00751243	9.40179	0.0410609
344	-7.56327	0.00750811	9.399	0.0410366
345	-7.5636	0.00749348	9.39725	0.0409549
346	-7.56391	0.00747826	9.39544	0.0408766
347	-7.5642	0.00746231	9.39377	0.040793
348	-7.56444	0.00744482	9.39234	0.0407008
349	-7.56428	0.00742529	9.39317	0.0405927
350	-7.56413	0.00740545	9.39393	0.0404839
351	-7.56379	0.00739247	9.39584	0.0404135
352	-7.56335	0.00738426	9.39811	0.0403626
353	-7.5629	0.00737695	9.40055	0.0403218
354	-7.56251	0.00736634	9.40264	0.0402622
355	-7.562	0.00736378	9.40546	0.0402469
356	-7.56148	0.00736102	9.40825	0.0402309
357	-7.56132	0.00734213	9.40922	0.0401298
358	-7.56115	0.00732359	9.41018	0.0400291
359	-7.56111	0.0073033	9.41044	0.0399185
360	-7.56123	0.00728396	9.40978	0.0398131
361	-7.56153	0.00727013	9.40798	0.0397435
362	-7.56169	0.0072517	9.40708	0.039644
363	-7.56181	0.0072328	9.40625	0.0395434
