# Blocco	Energia Media	Errore Energia	Pressione Media	Errore Pressione
130	-5.6855	0.0220655	0.86605	0.114596
131	-5.68296	0.0220425	0.880894	0.114685
132	-5.68016	0.0220524	0.897206	0.114977
133	-5.67702	0.0221091	0.912974	0.115195
134	-5.67393	0.0221586	0.926994	0.115192
135	-5.67124	0.022158	0.941784	0.11529
136	-5.66854	0.0221588	0.955972	0.115318
137	-5.6661	0.022131	0.967012	0.11501
138	-5.66447	0.0220307	0.975554	0.114499
139	-5.66316	0.0219106	0.985371	0.114101
140	-5.66152	0.0218156	0.992225	0.113498
141	-5.66058	0.0216811	0.998857	0.112892
142	-5.65973	0.021545	1.00569	0.112309
143	-5.65878	0.0214156	1.01333	0.111789
144	-5.65762	0.0212979	1.02038	0.11124
145	-5.65659	0.0211761	1.02814	0.110749
146	-5.65534	0.0210679	1.03323	0.110112
147	-5.65475	0.020933	1.0378	0.109463
148	-5.65417	0.0207995	1.04273	0.108839
149	-5.65337	0.0206753	1.0495	0.108324
150	-5.65219	0.0205711	1.05329	0.107673
151	-5.65167	0.0204413	1.05887	0.107109
152	-5.65075	0.0203275	1.0654	0.106608
153	-5.6497	0.0202219	1.07314	0.106196
154	-5.64829	0.0201398	1.08006	0.105736
155	-5.64707	0.0200468	1.0883	0.105379
156	-5.64542	0.0199859	1.09729	0.10509
157	-5.64366	0.0199361	1.10292	0.104576
158	-5.64266	0.0198346	1.11063	0.104202
159	-5.64119	0.0197647	1.12177	0.104145
160	-5.63902	0.0197599	1.13279	0.10408
161	-5.63674	0.0197679	1.14204	0.103847
162	-5.63487	0.0197344	1.15131	0.103623
163	-5.63304	0.0196981	1.15894	0.103272
164	-5.63153	0.0196357	1.16761	0.103008
165	-5.62986	0.0195874	1.17451	0.102619
166	-5.62855	0.0195132	1.18285	0.102343
167	-5.62687	0.0194683	1.19102	0.10206
168	-5.62528	0.0194175	1.19834	0.101717
169	-5.62399	0.0193457	1.20953	0.101733
170	-5.62179	0.0193559	1.21994	0.101669
171	-5.6199	0.0193353	1.22942	0.101519
172	-5.6182	0.0192974	1.23717	0.101227
173	-5.61689	0.0192301	1.24409	0.100882
174	-5.61573	0.0191547	1.25068	0.100521
175	-5.61455	0.0190816	1.26169	0.100551
176	-5.61237	0.019097	1.27299	0.100616
177	-5.61024	0.0191074	1.2834	0.100588
178	-5.60827	0.0191019	1.29294	0.100477
179	-5.60641	0.0190853	1.30159	0.10029
180	-5.60485	0.0190426	1.30886	0.0999992
181	-5.60355	0.0189819	1.31464	0.0996167
182	-5.60255	0.0189037	1.32192	0.0993379
183	-5.60122	0.0188474	1.3281	0.09899
184	-5.60017	0.018774	1.33453	0.0986638
185	-5.59909	0.0187037	1.34006	0.0982881
186	-5.59803	0.0186334	1.34431	0.0978546
187	-5.59723	0.0185509	1.34984	0.0974899
188	-5.5961	0.0184865	1.35439	0.0970804
189	-5.59526	0.0184079	1.35751	0.0966195
190	-5.59475	0.018318	1.36024	0.0961522
191	-5.59437	0.0182259	1.36225	0.0956723
192	-5.59413	0.0181326	1.36584	0.0952442
193	-5.59353	0.0180485	1.36934	0.0948174
194	-5.59295	0.0179651	1.37333	0.0944151
195	-5.59225	0.0178862	1.3776	0.0940299
196	-5.59163	0.017806	1.38197	0.093654
197	-5.59094	0.0177288	1.38573	0.0932566
198	-5.59039	0.017648	1.39035	0.0929021
199	-5.58951	0.0175809	1.39456	0.092533
200	-5.58867	0.0175131	1.3964	0.0920909
201	-5.58828	0.0174304	1.3987	0.0916638
202	-5.58781	0.0173504	1.39947	0.0912155
203	-5.58771	0.0172652	1.40283	0.0908302
204	-5.58703	0.0171937	1.4066	0.0904651
205	-5.58633	0.0171244	1.41049	0.0901096
206	-5.58564	0.0170549	1.41331	0.0897185
207	-5.58509	0.0169814	1.41787	0.0894027
