# Blocco	Energia Media	Errore Energia	Pressione Media	Errore Pressione
123	-0.41236	0.00480744	0.0484918	0.000616413
124	-0.412811	0.00478976	0.0485035	0.000611553
125	-0.412778	0.00475155	0.0485231	0.000606974
126	-0.412558	0.00471891	0.0485011	0.000602555
127	-0.412508	0.00468202	0.0484769	0.000598298
128	-0.412717	0.00465011	0.0484297	0.000595482
129	-0.413036	0.00462497	0.0484736	0.000592488
130	-0.413726	0.0046407	0.0484715	0.000587934
131	-0.413817	0.00460617	0.0485254	0.000585906
132	-0.413369	0.004593	0.048632	0.000591101
133	-0.412899	0.0045825	0.0486629	0.00058746
134	-0.412441	0.00457114	0.0488163	0.000602785
135	-0.41244	0.00453728	0.0487722	0.000599933
136	-0.412281	0.00450668	0.048759	0.000595666
137	-0.412027	0.00448098	0.0486951	0.000594736
138	-0.411799	0.0044543	0.0486544	0.000591823
139	-0.411947	0.00442471	0.04866	0.000587592
140	-0.411354	0.00443262	0.0487269	0.000587192
141	-0.410783	0.00443784	0.0487287	0.00058303
142	-0.410985	0.00441119	0.0486919	0.000580081
143	-0.410769	0.00438561	0.048653	0.000577329
144	-0.411163	0.00437277	0.048632	0.000573701
145	-0.411697	0.00437518	0.0486484	0.000569978
146	-0.41188	0.00434902	0.0486898	0.000567576
147	-0.41207	0.00432359	0.0486751	0.000563905
148	-0.412071	0.00429438	0.0486552	0.000560448
149	-0.411402	0.00431738	0.0487496	0.000564587
150	-0.41082	0.00432772	0.0488313	0.000566708
151	-0.410525	0.00430907	0.0487772	0.00056553
152	-0.410267	0.00428847	0.0487331	0.000563532
153	-0.409884	0.00427748	0.0488155	0.000565851
154	-0.409677	0.0042547	0.0489143	0.000570723
155	-0.409763	0.00422813	0.0489084	0.000567072
156	-0.409555	0.00420616	0.0488564	0.000565813
157	-0.409391	0.00418255	0.0488646	0.000562269
158	-0.40962	0.00416231	0.048852	0.000558851
159	-0.409579	0.00413633	0.0488785	0.000555962
160	-0.409484	0.00411156	0.0489011	0.000552946
161	-0.409368	0.00408765	0.0489326	0.000550412
162	-0.409053	0.00407455	0.0490117	0.000552668
163	-0.408824	0.00405598	0.0490468	0.000550392
164	-0.408579	0.00403867	0.0489728	0.000551993
