1	1	0
2	1.41647	0.102367
3	1.73591	0.123807
4	2.00509	0.167364
5	2.24299	0.180634
6	2.45793	0.197043
7	2.65104	0.204815
8	2.83746	0.22656
9	3.01543	0.254046
10	3.186	0.288796
11	3.33982	0.290484
12	3.4752	0.309577
13	3.61231	0.31091
14	3.74857	0.327857
15	3.88201	0.338164
16	4.00794	0.3631
17	4.125	0.372229
18	4.2379	0.385271
19	4.35389	0.403035
20	4.46806	0.413823
21	4.58203	0.419902
22	4.68034	0.435395
23	4.78387	0.433895
24	4.89007	0.439357
25	4.98779	0.439236
26	5.08728	0.440837
27	5.18453	0.435139
28	5.28927	0.441051
29	5.3761	0.451885
30	5.47385	0.466014
31	5.56726	0.466303
32	5.66057	0.474823
33	5.7443	0.494476
34	5.82759	0.507967
35	5.91417	0.537959
36	5.98941	0.539475
37	6.06745	0.531392
38	6.15202	0.542586
39	6.23641	0.561635
40	6.31973	0.586126
41	6.4015	0.590784
42	6.47884	0.598069
43	6.55849	0.62051
44	6.63064	0.634929
45	6.70931	0.641353
46	6.78783	0.650822
47	6.86015	0.658324
48	6.93648	0.661597
49	7.00353	0.67064
50	7.07965	0.689321
51	7.14955	0.673583
52	7.21866	0.662127
53	7.2911	0.662572
54	7.35764	0.670563
55	7.43048	0.691783
56	7.50183	0.69111
57	7.5733	0.707691
58	7.64355	0.701919
59	7.7127	0.700564
60	7.77634	0.699223
61	7.84525	0.72142
62	7.90896	0.718581
63	7.96561	0.739387
64	8.02335	0.732006
65	8.08679	0.742245
66	8.1545	0.73491
67	8.21525	0.730031
68	8.27184	0.718848
69	8.33367	0.710079
70	8.39624	0.70463
71	8.45612	0.699149
72	8.51842	0.700035
73	8.57904	0.703147
74	8.63374	0.704296
75	8.68796	0.710072
76	8.74042	0.707753
77	8.8012	0.720455
78	8.84605	0.711412
79	8.88934	0.726552
80	8.94011	0.72139
81	8.98587	0.691392
82	9.04449	0.695158
83	9.10803	0.687031
84	9.16504	0.690234
85	9.21988	0.692939
86	9.26695	0.694624
87	9.31833	0.699466
88	9.36868	0.695369
89	9.4088	0.683071
90	9.46027	0.692576
91	9.51365	0.692122
92	9.55561	0.707703
93	9.60802	0.723185
94	9.66213	0.736557
95	9.72082	0.751026
96	9.77728	0.758067
97	9.82767	0.758062
98	9.88109	0.765207
99	9.9302	0.786025
100	9.97831	0.77144
