#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.413085    0.413085           0
           2    0.409195     0.41114  0.00137529
           3    0.409181    0.410487  0.00106063
           4    0.408162    0.409906 0.000941427
           5    0.407079    0.409341 0.000907126
           6    0.409997     0.40945   0.0007625
           7    0.408242    0.409277 0.000672822
           8    0.412754    0.409712 0.000715419
           9    0.409001    0.409633 0.000640278
          10    0.409906     0.40966 0.000576833
          11    0.407171    0.409434 0.000567054
          12    0.409879    0.409471 0.000521009
          13    0.406946    0.409277  0.00051587
          14    0.410012    0.409329 0.000481686
          15    0.407615    0.409215 0.000462937
          16    0.414676    0.409556 0.000545492
          17    0.407712    0.409448 0.000524082
          18    0.408585      0.4094 0.000497155
          19    0.411227    0.409496 0.000480205
          20     0.40778     0.40941 0.000463796
          21    0.413159    0.409589 0.000474828
          22    0.407729    0.409504  0.00046071
          23    0.408645    0.409467 0.000442191
          24    0.407836    0.409399 0.000428952
          25    0.410906    0.409459 0.000416011
          26     0.40668    0.409352 0.000413516
          27    0.412978    0.409487  0.00041944
          28    0.410598    0.409526 0.000406335
          29    0.407035     0.40944 0.000401298
          30    0.410234    0.409467 0.000388793
           1    0.799847    0.799847           0
           2     0.80026    0.800053 0.000145929
           3    0.803211    0.801106 0.000864994
           4    0.802733    0.801513 0.000738227
           5     0.79349    0.799908  0.00155194
           6    0.800736    0.800046   0.0012994
           7    0.800947    0.800175  0.00112013
           8     0.80413    0.800669  0.00108375
           9     0.78568    0.799004  0.00184217
          10    0.807594    0.799863  0.00184741
          11    0.797042    0.799607  0.00169716
          12    0.804477    0.800012  0.00160354
          13    0.800285    0.800033  0.00148033
          14    0.795726    0.799726  0.00140619
          15    0.801565    0.799848  0.00131778
          16    0.795266    0.799562  0.00126616
          17    0.799833    0.799578  0.00119178
          18    0.808338    0.800065   0.0012209
          19    0.790987    0.799587  0.00124663
          20    0.801595    0.799687  0.00118833
          21    0.806034    0.799989  0.00116954
          22    0.796814    0.799845  0.00112525
          23    0.798015    0.799766  0.00107914
          24    0.795185    0.799575  0.00105092
          25    0.811924    0.800069  0.00111897
          26    0.794067    0.799838  0.00109948
          27    0.798203    0.799777  0.00106043
          28    0.795108     0.79961  0.00103558
           1    0.799847    0.799847           0
           2     0.80026    0.800053 0.000145929
           3    0.803211    0.801106 0.000864994
           4    0.802733    0.801513 0.000738227
           5     0.79349    0.799908  0.00155194
           6    0.800736    0.800046   0.0012994
           7    0.800947    0.800175  0.00112013
           8     0.80413    0.800669  0.00108375
           9     0.78568    0.799004  0.00184217
          10    0.807594    0.799863  0.00184741
          11    0.797042    0.799607  0.00169716
          12    0.804477    0.800012  0.00160354
          13    0.800285    0.800033  0.00148033
          14    0.795726    0.799726  0.00140619
          15    0.801565    0.799848  0.00131778
          16    0.795266    0.799562  0.00126616
          17    0.799833    0.799578  0.00119178
          18    0.808338    0.800065   0.0012209
          19    0.790987    0.799587  0.00124663
          20    0.801595    0.799687  0.00118833
          21    0.806034    0.799989  0.00116954
          22    0.796814    0.799845  0.00112525
          23    0.798015    0.799766  0.00107914
          24    0.795185    0.799575  0.00105092
          25    0.811924    0.800069  0.00111897
          26    0.794067    0.799838  0.00109948
          27    0.798203    0.799777  0.00106043
          28    0.795108     0.79961  0.00103558
          29    0.799572    0.799609 0.000999874
          30    0.800933    0.799653 0.000967519
