#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.36344    -3.36344           0
           2    -3.36157    -3.36251 0.000661497
           3    -3.36428     -3.3631 0.000654011
           4    -3.36246    -3.36294 0.000509724
           5    -3.36366    -3.36308 0.000427506
           6    -3.36319     -3.3631   0.0003566
           7    -3.36498    -3.36337 0.000394351
           8    -3.36346    -3.36338 0.000345221
           9    -3.36442     -3.3635 0.000325716
          10    -3.36417    -3.36356 0.000300036
          11    -3.36332    -3.36354 0.000273548
          12    -3.36344    -3.36353 0.000250883
          13     -3.3644     -3.3636 0.000240338
          14    -3.36413    -3.36364 0.000226121
          15    -3.36272    -3.36358 0.000219188
          16     -3.3612    -3.36343 0.000250815
          17    -3.36595    -3.36358 0.000276398
          18    -3.36133    -3.36345  0.00028793
          19    -3.36322    -3.36344 0.000273038
          20    -3.36207    -3.36337 0.000267779
          21    -3.36337    -3.36337 0.000255027
          22     -3.3643    -3.36341 0.000246883
          23    -3.36238    -3.36337 0.000240164
          24    -3.36312    -3.36336 0.000230374
          25    -3.36307    -3.36335 0.000221446
          26    -3.36423    -3.36338 0.000215543
          27    -3.36223    -3.36334 0.000211736
          28     -3.3619    -3.36329 0.000210307
          29     -3.3625    -3.36326 0.000204804
          30    -3.36316    -3.36326 0.000198001
