#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.64613     1.64613           0
           2     1.65473     1.65043  0.00303832
           3       1.651     1.65062  0.00203147
           4     1.66023     1.65302   0.0025794
           5     1.63385     1.64919  0.00400311
           6     1.63121     1.64619  0.00431403
           7      1.6287     1.64369   0.0043616
           8     1.67153     1.64717  0.00501561
           9     1.66742     1.64942  0.00493688
          10     1.63949     1.64843    0.004542
          11     1.64377     1.64801  0.00414883
          12     1.65475     1.64857  0.00384098
          13     1.67773     1.65081  0.00414925
          14     1.67682     1.65267  0.00424852
          15     1.65284     1.65268   0.0039653
          16      1.6593     1.65309  0.00373896
          17     1.67361      1.6543  0.00370871
          18      1.6635     1.65481   0.0035377
          19     1.66253     1.65522  0.00337474
          20     1.66574     1.65574  0.00324673
          21     1.67286     1.65656  0.00319283
          22     1.63677     1.65566  0.00317185
          23     1.64476     1.65519  0.00306916
          24     1.69299     1.65676  0.00332092
          25      1.6716     1.65735  0.00324067
          26     1.67141     1.65789  0.00316078
          27     1.65196     1.65768  0.00305136
          28     1.67039     1.65813  0.00297599
          29      1.6422     1.65758  0.00292364
          30     1.65748     1.65758  0.00282619
