#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.72858     1.72858           0
           2     1.75217     1.74038  0.00834068
           3      1.8023     1.76102   0.0177478
           4     1.74751     1.75764   0.0136284
           5     1.78828     1.76377   0.0122025
           6     1.75356     1.76207   0.0102866
           7     1.80413     1.76808   0.0104254
           8     1.80021     1.77209  0.00986584
           9     1.76516     1.77132  0.00879966
          10     1.70259     1.76445    0.010259
          11     1.81087     1.76867   0.0101574
          12     1.77947     1.76957  0.00935073
          13     1.79598      1.7716  0.00884943
          14     1.82274     1.77525  0.00893949
          15     1.80978     1.77756  0.00863471
          16     1.79306     1.77853  0.00814925
          17     1.78132     1.77869  0.00767154
          18     1.80563     1.78019  0.00738987
          19     1.78176     1.78027  0.00700139
          20     1.78138     1.78032  0.00665154
          21     1.77912     1.78027  0.00633504
          22      1.7627     1.77947  0.00609721
          23     1.77231     1.77916  0.00584004
          24     1.75966     1.77835  0.00565293
          25     1.72881     1.77636  0.00576356
          26     1.74354      1.7751  0.00567848
          27     1.74075     1.77383  0.00560891
          28     1.74199     1.77269  0.00552262
          29     1.72281     1.77097   0.0055936
          30     1.74815     1.77021  0.00545865
