#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     92.5065     92.5065           0
           2     88.9931     90.7498     1.24218
           3     90.0324     90.5107    0.850824
           4     89.3141     90.2115    0.688701
           5     84.5937      89.088     1.14607
           6     89.6494     89.1815     0.95887
           7     88.5038     89.0847    0.826762
           8     91.7213     89.4143    0.786366
           9     88.1804     89.2772    0.710842
          10     86.8944     89.0389    0.678521
          11     93.6731     89.4602    0.736095
          12      87.522     89.2987    0.692247
          13     88.7045      89.253    0.640504
          14     87.3445     89.1167    0.609087
          15     80.2981     88.5288     0.80359
          16     93.5354     88.8417    0.812008
          17     93.7521     89.1305    0.813998
          18     91.1711     89.2439     0.77663
          19     90.9255     89.3324    0.740781
          20     86.4279     89.1872    0.717836
          21     89.0098     89.1787    0.683703
          22     91.4412     89.2816    0.660315
          23     90.1423      89.319    0.632665
          24     90.6219     89.3733    0.608629
          25      89.384     89.3737    0.584284
          26     88.1619     89.3271    0.563667
          27     94.1478     89.5056    0.570368
          28      89.333     89.4995    0.550031
          29     87.0589     89.4153    0.537464
          30     93.2895     89.5445    0.534838
          31     93.4896     89.6717     0.53251
          32     92.6986     89.7663    0.524203
          33     91.1195     89.8073    0.509919
          34     92.6705     89.8915    0.501827
          35     90.5518     89.9104    0.487844
          36     89.9684      89.912    0.474295
          37       92.67     89.9865    0.467297
          38     94.4266     90.1034    0.469381
          39      87.191     90.0287    0.463248
          40     91.4927     90.0653     0.45311
          41     91.9918     90.1123    0.444488
          42     92.4617     90.1682    0.437411
          43     95.5547     90.2935    0.444814
          44     90.4696     90.2975    0.434723
          45     90.3854     90.2995    0.425067
          46     92.6583     90.3507    0.418908
          47     94.7113     90.4435    0.420144
          48      92.955     90.4958    0.414636
          49     81.9956     90.3224    0.440972
          50     86.4958     90.2458    0.438743
          51     84.5445      90.134    0.444154
          52     85.5777     90.0464    0.444172
          53     89.7991     90.0418    0.435816
          54     93.1777     90.0998    0.431597
          55      92.189     90.1378    0.425418
          56      91.825     90.1679    0.418887
          57     87.0307     90.1129    0.415138
          58     90.0734     90.1122    0.407981
          59     88.6253      90.087    0.401844
          60     91.0661     90.1033    0.395477
          61     85.8142      90.033    0.395195
          62     88.1019     90.0019    0.390047
          63     86.2182     89.9418    0.388452
          64     93.9949     90.0051     0.38751
          65     92.5739     90.0447    0.383558
          66     94.3405     90.1098    0.383229
          67     88.4013     90.0843    0.378357
          68     88.6828     90.0636    0.373354
          69     95.6423     90.1445    0.376595
          70     89.4417     90.1345    0.371349
          71     93.8934     90.1874    0.369874
          72     93.0264     90.2268    0.366832
          73     94.8903     90.2907    0.367328
          74     87.8762     90.2581     0.36381
          75      95.271     90.3249    0.365047
          76     88.0847     90.2954    0.361432
          77     82.6347      90.196    0.370178
          78     88.7921      90.178     0.36587
          79      86.669     90.1335    0.363925
          80      89.744     90.1287    0.359408
          81      95.413     90.1939    0.360844
          82     92.6373     90.2237    0.357671
          83     86.2176     90.1754    0.356604
          84     88.8746       90.16    0.352695
          85      88.842     90.1444    0.348886
          86      94.172     90.1913    0.347958
          87     94.0542     90.2357     0.34678
          88     90.5536     90.2393    0.342858
          89      92.883      90.269     0.34029
          90     88.7837     90.2525    0.336909
          91     88.1224     90.2291    0.334019
          92     91.2505     90.2402    0.330573
          93     86.5782     90.2008    0.329355
          94     86.6323     90.1629    0.328032
          95     95.4558     90.2186    0.329276
          96     92.4296     90.2416    0.326651
          97     93.4687     90.2749    0.324973
          98     92.7158     90.2998     0.32261
          99     86.0712     90.2571    0.322167
         100     85.4299     90.2088    0.322541
