#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     -4.0468     -4.0468           0
           2    -4.02671    -4.03676  0.00710083
           3    -4.03007    -4.03453  0.00507117
           4    -4.03138    -4.03374  0.00386408
           5    -3.98482    -4.02396  0.00928037
           6     -3.9942      -4.019  0.00896141
           7    -4.00364     -4.0168  0.00794515
           8    -4.05643    -4.02176  0.00835435
           9    -3.99536    -4.01882  0.00792419
          10    -3.99907    -4.01685  0.00737394
          11     -4.0767    -4.02229  0.00847668
          12    -3.98654    -4.01931  0.00827724
          13     -4.0064    -4.01832  0.00769991
          14    -4.00304    -4.01723  0.00722684
          15    -3.93857    -4.01198  0.00843578
          16    -4.06698    -4.01542  0.00858028
          17     -4.0695     -4.0186  0.00864514
          18    -4.03854    -4.01971  0.00823551
          19    -4.03924    -4.02074  0.00786599
          20    -4.01007     -4.0202  0.00749074
          21    -4.02524    -4.02044  0.00713787
          22    -4.03625    -4.02116   0.0068495
          23    -4.03803     -4.0219  0.00659084
          24      -4.038    -4.02257   0.0063503
          25    -4.02331     -4.0226  0.00609636
          26    -4.01095    -4.02215  0.00587831
          27    -4.07773    -4.02421  0.00601024
          28    -4.03164    -4.02447  0.00580145
          29    -3.98481     -4.0231  0.00576037
          30    -4.06576    -4.02453  0.00574114
          31    -4.06909    -4.02596  0.00573308
          32    -4.06307    -4.02712     0.00567
          33     -4.0492    -4.02779  0.00553749
          34    -4.06065    -4.02876  0.00545832
          35    -4.01557    -4.02838  0.00531535
          36    -4.02154    -4.02819   0.0051711
          37     -4.0641    -4.02916   0.0051216
          38    -4.08779    -4.03071  0.00521403
          39    -4.00964    -4.03016  0.00510824
          40    -4.04831    -4.03062  0.00500063
          41    -4.05475    -4.03121  0.00491319
          42    -4.06089    -4.03191  0.00484675
          43    -4.08672    -4.03319  0.00489877
          44    -4.01507    -4.03278   0.0048047
          45    -4.03287    -4.03278  0.00469793
          46    -4.05635    -4.03329  0.00462366
          47     -4.0787    -4.03426  0.00462512
          48    -4.05912    -4.03478  0.00455769
          49    -3.96742     -4.0334  0.00466737
          50    -3.99365    -4.03261  0.00464125
          51    -3.96655    -4.03131   0.0047275
          52    -3.96533    -4.03004  0.00480384
          53     -4.0307    -4.03005  0.00471322
          54    -4.07246    -4.03084  0.00469089
          55    -4.05477    -4.03127  0.00462573
          56    -4.04785    -4.03157  0.00455259
          57    -4.00489     -4.0311  0.00449673
          58    -4.03246    -4.03113  0.00441926
          59    -4.02676    -4.03105  0.00434498
          60    -4.04102    -4.03122  0.00427573
          61     -3.9957    -4.03064   0.0042451
          62    -3.99712    -4.03009  0.00421091
          63    -4.00378    -4.02968  0.00416474
          64    -4.07086    -4.03032  0.00414908
          65    -4.06357    -4.03083  0.00411665
          66    -4.08081    -4.03159  0.00412333
          67    -4.00876    -4.03125  0.00407584
          68     -4.0235    -4.03113  0.00401749
          69     -4.0888    -4.03197  0.00404526
          70    -4.02446    -4.03186  0.00398889
          71    -4.06304     -4.0323   0.0039568
          72    -4.06198    -4.03271  0.00392326
          73    -4.08132    -4.03338   0.0039256
          74    -4.00953    -4.03306  0.00388575
          75    -4.07838    -4.03366  0.00388066
          76    -4.01501    -4.03342  0.00383735
          77    -3.95706    -4.03243  0.00391354
          78    -4.01601    -4.03221  0.00386903
          79    -4.00292    -4.03184  0.00383778
          80    -4.02596    -4.03177  0.00379052
          81    -4.08885    -4.03248  0.00380866
          82    -4.05872     -4.0328  0.00377564
          83     -3.9947    -4.03234  0.00375794
          84    -4.02867    -4.03229  0.00371345
          85    -3.95767    -4.03141  0.00377211
          86    -4.07788    -4.03195  0.00376673
          87    -4.07549    -4.03246  0.00375653
          88    -4.03251    -4.03246  0.00371384
          89    -4.05558    -4.03272  0.00368119
          90     -4.0179    -4.03255  0.00364397
          91    -4.02004    -4.03241  0.00360652
          92    -4.03705    -4.03246  0.00356767
          93    -3.99928    -4.03211   0.0035471
          94    -3.98395    -4.03159  0.00354617
          95    -4.08721    -4.03218  0.00355683
          96    -4.05724    -4.03244  0.00352934
          97    -4.06555    -4.03278  0.00350942
          98    -4.06143    -4.03308  0.00348577
          99    -3.99091    -4.03265  0.00347648
         100    -3.98218    -4.03214  0.00347815
