#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         152   -0.461522   -0.462673  0.00043547
         153   -0.460508   -0.462659 0.000432854
         154    -0.46627   -0.462682 0.000430678
         155   -0.460716    -0.46267 0.000428086
         156   -0.460249   -0.462654 0.000425623
         157   -0.469994   -0.462701 0.000425472
         158   -0.452265   -0.462635 0.000427875
         159   -0.466941   -0.462662  0.00042604
         160    -0.46827   -0.462697 0.000424817
         161   -0.461932   -0.462692 0.000422205
         162   -0.479258   -0.462794 0.000431804
         163   -0.458943   -0.462771 0.000429801
         164   -0.467265   -0.462798 0.000428053
         165   -0.467483   -0.462827 0.000426399
         166   -0.460138    -0.46281 0.000424138
         167   -0.464294   -0.462819 0.000421691
         168    -0.46017   -0.462804 0.000419476
         169   -0.453751    -0.46275   0.0004204
         170    -0.45885   -0.462727 0.000418553
         171   -0.465357   -0.462742 0.000416387
         172   -0.466774   -0.462766 0.000414626
         173   -0.471368   -0.462816   0.0004152
         174   -0.448399   -0.462733 0.000420999
         175   -0.464508   -0.462743 0.000418715
         176   -0.469246    -0.46278 0.000417964
         177   -0.462038   -0.462776 0.000415623
         178   -0.459091   -0.462755 0.000413803
         179   -0.467749   -0.462783 0.000412431
         180   -0.458926   -0.462761 0.000410696
         181   -0.467463   -0.462787 0.000409248
         182   -0.470993   -0.462832 0.000409475
         183   -0.468503   -0.462863 0.000408408
         184   -0.465866    -0.46288 0.000406514
         185   -0.470899   -0.462923 0.000406622
         186   -0.456653   -0.462889 0.000405831
         187   -0.461769   -0.462883 0.000403705
         188    -0.46047   -0.462871 0.000401761
         189   -0.457443   -0.462842  0.00040066
         190   -0.464237   -0.462849 0.000398619
         191    -0.46079   -0.462838 0.000396678
         192   -0.457386    -0.46281 0.000395627
         193   -0.456675   -0.462778 0.000394852
         194   -0.465266   -0.462791 0.000393025
         195   -0.456806    -0.46276 0.000392206
         196   -0.459866   -0.462746 0.000390483
         197   -0.466494   -0.462765 0.000388964
         198   -0.452794   -0.462714 0.000390246
         199   -0.465805    -0.46273 0.000388594
         200   -0.455121   -0.462692 0.000388509
         201   -0.467517   -0.462716 0.000387317
         202   -0.450856   -0.462657 0.000389824
         203   -0.458246   -0.462635 0.000388509
         204   -0.464006   -0.462642 0.000386662
         205   -0.456278   -0.462611  0.00038602
         206   -0.459843   -0.462598  0.00038438
         207   -0.454789    -0.46256  0.00038437
         208   -0.473121   -0.462611 0.000385861
         209   -0.462861   -0.462612 0.000384016
         210   -0.463902   -0.462618 0.000382237
         211   -0.463796   -0.462624 0.000380466
         212   -0.452448   -0.462576 0.000381687
         213   -0.470553   -0.462613 0.000381728
         214   -0.463061   -0.462615  0.00037995
         215   -0.461486    -0.46261 0.000378219
         216    -0.46386   -0.462616 0.000376512
         217   -0.461386    -0.46261  0.00037482
         218   -0.459466   -0.462596 0.000373378
         219   -0.461567   -0.462591 0.000371702
         220   -0.465848   -0.462606 0.000370308
         221   -0.458758   -0.462588 0.000369041
         222   -0.468848   -0.462616 0.000368454
         223   -0.472337    -0.46266 0.000369371
         224   -0.466969   -0.462679 0.000368223
         225   -0.476317    -0.46274 0.000371541
         226   -0.477269   -0.462804 0.000375418
         227   -0.459887   -0.462791 0.000373984
         228   -0.457881    -0.46277 0.000372963
         229   -0.455225   -0.462737 0.000372787
         230   -0.465444   -0.462749 0.000371352
         231   -0.459278   -0.462734 0.000370048
         232   -0.458895   -0.462717 0.000368823
         233   -0.467076   -0.462736 0.000367714
         234   -0.461038   -0.462728 0.000366214
         235   -0.464853   -0.462738 0.000364768
         236   -0.463174   -0.462739 0.000363227
         237    -0.46767    -0.46276 0.000362289
         238   -0.462144   -0.462758 0.000360777
         239   -0.461682   -0.462753 0.000359295
         240   -0.474718   -0.462803  0.00036124
         241   -0.464765   -0.462811 0.000359833
         242   -0.464473   -0.462818 0.000358411
         243   -0.468486   -0.462841 0.000357695
         244   -0.463848   -0.462845 0.000356252
         245   -0.461314   -0.462839 0.000354853
         246    -0.45751   -0.462817 0.000354071
         247   -0.461814   -0.462813 0.000352661
         248   -0.467054   -0.462831 0.000351654
         249   -0.474119   -0.462876 0.000353152
         250    -0.46609   -0.462889 0.000351973
         251   -0.468674   -0.462912 0.000351325
         252   -0.478191   -0.462972 0.000355124
         253   -0.469721   -0.462999 0.000354721
         254   -0.462694   -0.462998 0.000353326
         255    -0.46251   -0.462996 0.000351946
         256   -0.454698   -0.462964  0.00035206
         257   -0.466253   -0.462976 0.000350923
