#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         169     1.35316     1.35894   0.0088651
         170     1.46776     1.35958  0.00883604
         171     1.44216     1.36006  0.00879755
         172     1.38836     1.36023  0.00874794
         173     1.48536     1.36095  0.00872723
         174     1.34708     1.36087  0.00867744
         175     1.51028     1.36172  0.00866975
         176     1.45736     1.36227   0.0086375
         177       1.328     1.36207  0.00859087
         178     1.21488     1.36125  0.00858232
         179     1.50016     1.36202  0.00856938
         180      1.1686     1.36095  0.00858889
         181     1.36788     1.36099  0.00854152
         182     1.37044     1.36104  0.00849475
         183     1.28372     1.36062  0.00845883
         184     1.44352     1.36107  0.00842485
         185      1.4888     1.36176  0.00840755
         186     1.44736     1.36222  0.00837494
         187     1.04124      1.3605  0.00850423
         188     1.22512     1.35978  0.00848943
         189     1.42216     1.36011  0.00845092
         190     1.53656     1.36104  0.00845732
         191     1.44332     1.36147    0.008424
         192     1.37888     1.36156  0.00838061
         193     1.40128     1.36177  0.00833972
         194     1.38192     1.36187  0.00829738
         195     1.53632     1.36276  0.00830291
         196     1.36804     1.36279   0.0082606
         197      1.1836     1.36188  0.00826859
         198     1.35744     1.36186  0.00822686
         199     1.20336     1.36106  0.00822399
         200     1.27012     1.36061  0.00819543
         201     1.31792      1.3604  0.00815741
         202      1.4464     1.36082  0.00812813
         203     1.19904     1.36002  0.00812706
         204     1.26692     1.35957  0.00810003
         205     1.27872     1.35917  0.00807011
         206     1.27056     1.35874  0.00804239
         207     1.32816      1.3586   0.0080049
         208     1.39356     1.35876  0.00796818
         209     1.38176     1.35887  0.00793081
         210     1.47956     1.35945  0.00791384
         211      1.4774     1.36001  0.00789605
         212     1.38136     1.36011  0.00785945
         213     1.38724     1.36024  0.00782358
         214     1.28176     1.35987  0.00779561
         215     1.32856     1.35972  0.00776071
         216     1.41412     1.35998  0.00772887
         217     1.13176     1.35892  0.00776448
         218     1.50536      1.3596  0.00775786
         219       1.533     1.36039  0.00776274
         220     1.48368     1.36095  0.00774766
         221     1.48552     1.36151  0.00773308
         222     1.43688     1.36185  0.00770569
         223     1.58052     1.36283  0.00773328
         224     1.36204     1.36283  0.00769876
         225     1.28304     1.36247   0.0076727
         226     1.32472     1.36231  0.00764057
         227      1.4342     1.36262  0.00761347
         228      1.3206     1.36244  0.00758231
         229     1.53524     1.36319  0.00758666
         230     1.32772     1.36304  0.00755524
         231     1.37508     1.36309  0.00752271
         232     1.25156     1.36261  0.00750563
         233     1.50172     1.36321  0.00749713
         234     1.29436     1.36291  0.00747086
         235     1.45104     1.36329  0.00744847
         236     1.20388     1.36261  0.00744747
         237     1.53632     1.36335  0.00745203
