#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         160     0.00148    0.027074  0.00164144
         161      0.0126   0.0269841  0.00163371
         162     0.04688   0.0271069  0.00162823
         163     0.06316   0.0273281   0.0016332
         164     0.00324   0.0271812  0.00162983
         165     0.05416   0.0273447  0.00162813
         166     0.06688   0.0275829  0.00163565
         167     0.00672    0.027458  0.00163062
         168     0.02848    0.027464  0.00162093
         169     0.02356   0.0274409   0.0016115
         170     0.03048   0.0274588  0.00160212
         171     0.04384   0.0275546  0.00159561
         172     0.02268   0.0275263  0.00158659
         173      0.0044   0.0273926  0.00158304
         174     0.02796   0.0273959  0.00157394
         175      0.0374    0.027453  0.00156599
         176     0.05032    0.027583  0.00156247
         177     0.03392   0.0276188  0.00155405
         178     0.03456   0.0276578  0.00154581
         179     0.06744     0.02788  0.00155307
         180     0.01828   0.0278267  0.00154536
         181     0.05316   0.0279666  0.00154314
         182     0.04164   0.0280418  0.00153649
         183     0.02116   0.0280042  0.00152856
         184     0.03328   0.0280328  0.00152052
         185     0.02496   0.0280162  0.00151239
         186     0.03264   0.0280411  0.00150446
         187     0.02844   0.0280432  0.00149642
         188     0.03152   0.0280617  0.00148857
         189     0.04816    0.028168  0.00148449
         190     0.00384     0.02804  0.00148219
         191     0.07148   0.0282674  0.00149178
         192     0.00128   0.0281269  0.00149062
         193     0.05776   0.0282804  0.00149078
         194     0.01128   0.0281928  0.00148567
         195     0.02432   0.0281729  0.00147818
         196     0.02532   0.0281584  0.00147071
         197     0.00872   0.0280597  0.00146655
         198     0.03168    0.028078  0.00145926
         199     0.06224   0.0282496  0.00146199
         200     0.00804   0.0281486  0.00145817
         201     0.00784   0.0280476  0.00145441
         202      0.0268   0.0280414  0.00144722
         203     0.02032   0.0280033  0.00144059
         204     0.01628   0.0279459  0.00143468
         205     0.02192   0.0279165  0.00142798
         206     0.00816   0.0278206  0.00142426
         207     0.02744   0.0278187  0.00141739
         208     0.04804    0.027916   0.0014139
         209     0.01504   0.0278544  0.00140848
         210    -0.00892   0.0276792  0.00141261
         211      0.0538    0.027803  0.00141133
         212      0.0304   0.0278153  0.00140473
         213    -0.02836   0.0275515  0.00142268
         214     0.00104   0.0274277  0.00142141
         215     0.03432   0.0274597  0.00141516
         216       0.049   0.0275594  0.00141212
         217     0.01728   0.0275121  0.00140641
         218     0.04528   0.0275936  0.00140232
         219    -0.00964   0.0274236  0.00140618
         220      0.0524   0.0275371  0.00140436
         221     0.01792   0.0274936  0.00139868
         222     -0.0056   0.0273445   0.0014003
         223     0.03284   0.0273691  0.00139424
         224     0.02444   0.0273561  0.00138808
         225     0.03184    0.027376  0.00138205
         226     0.02744   0.0273763  0.00137594
         227     0.01036   0.0273013  0.00137192
         228     0.03804   0.0273484  0.00136671
         229     0.05724    0.027479  0.00136696
         230      0.0122   0.0274125  0.00136263
         231    -0.00012   0.0272933  0.00136193
         232    -0.00324   0.0271617  0.00136241
         233      0.0258   0.0271559  0.00135657
         234     0.00388   0.0270564  0.00135442
         235     0.03864   0.0271057  0.00134955
         236     0.04268   0.0271717  0.00134544
         237     0.04752   0.0272576   0.0013425
         238      0.0352   0.0272909  0.00133728
         239     0.04012   0.0273446  0.00133276
         240    -0.04812   0.0270302  0.00136379
         241     0.03824   0.0270767  0.00135893
         242     0.05164   0.0271782   0.0013571
         243     0.02032     0.02715  0.00135181
         244      0.0084   0.0270731  0.00134845
         245     0.08972   0.0273288  0.00136697
         246     0.03148   0.0273457  0.00136152
         247     0.03472   0.0273755  0.00135634
         248     0.02472   0.0273648  0.00135091
         249     0.04996   0.0274556  0.00134853
         250     0.02052   0.0274278  0.00134342
         251     0.05372   0.0275326  0.00134214
         252     0.00156   0.0274295  0.00134077
         253     0.03004   0.0274398  0.00133551
         254     0.03472   0.0274685  0.00133056
         255     0.00548   0.0273823  0.00132813
         256     0.00692   0.0273023  0.00132535
         257     0.00464   0.0272142  0.00132312
         258     0.08428   0.0274353  0.00133635
         259     0.06088   0.0275645  0.00133742
         260     0.03004    0.027574  0.00133231
         261     0.03952   0.0276198  0.00132799
         262     0.05124   0.0277099  0.00132598
         263     0.02164   0.0276868  0.00132114
         264     0.05812   0.0278021  0.00132115
         265     0.04904   0.0278823  0.00131859
         266    -0.00152   0.0277717  0.00131826
         267     0.02244   0.0277518  0.00131348
         268     0.00616   0.0276712  0.00131104
         269     0.01972   0.0276416   0.0013065
         270     0.06156   0.0277673  0.00130769
         271     0.03384   0.0277897  0.00130306
         272     0.04412   0.0278497  0.00129965
         273     0.05768    0.027959  0.00129947
         274     0.05592    0.028061  0.00129873
         275      0.0086   0.0279903  0.00129593
         276      0.0168   0.0279497  0.00129187
         277     0.01092   0.0278882  0.00128867
         278     0.04848   0.0279623  0.00128616
