#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.38346     1.38346           0
           2     1.38369     1.38358 8.20097e-05
           3     1.38927     1.38547  0.00155027
           4     1.38622     1.38566  0.00117379
           5     1.38696     1.38592 0.000967275
           6     1.39058      1.3867  0.00107319
           7     1.38059     1.38582  0.00122407
           8     1.38304     1.38548  0.00111949
           9     1.38536     1.38546 0.000995171
          10     1.38348     1.38526 0.000915193
          11     1.38288     1.38505 0.000857204
          12     1.39287      1.3857  0.00100348
          13     1.38559     1.38569 0.000926328
          14     1.38597     1.38571 0.000860379
          15     1.38464     1.38564 0.000805975
          16      1.3902     1.38593 0.000804338
          17     1.38304     1.38576 0.000774774
          18     1.38984     1.38598 0.000764309
          19     1.39204      1.3863  0.00078784
          20     1.38071     1.38602 0.000796556
          21     1.38685     1.38606 0.000759609
          22     1.37826     1.38571 0.000803659
          23     1.38992     1.38589 0.000789364
          24     1.38856       1.386 0.000764251
          25     1.39435     1.38634 0.000803408
          26     1.38966     1.38646 0.000782641
          27     1.38882     1.38655 0.000758523
          28     1.38497     1.38649  0.00073352
          29      1.3914     1.38666 0.000727466
          30     1.38006     1.38644 0.000735771
          31     1.38445     1.38638 0.000714851
          32     1.38248     1.38626 0.000702809
          33     1.38371     1.38618 0.000685744
          34     1.38147     1.38604 0.000679403
          35     1.38494     1.38601 0.000660715
          36     1.38549       1.386  0.00064252
          37     1.38508     1.38597 0.000625631
          38     1.39168     1.38612 0.000626952
          39     1.38359     1.38606 0.000614233
          40     1.38483     1.38603 0.000599641
          41     1.38496       1.386  0.00058558
          42     1.39032      1.3861  0.00058061
          43     1.38387     1.38605 0.000569427
          44     1.37897     1.38589 0.000578763
          45     1.39016     1.38598 0.000573629
          46     1.38528     1.38597 0.000561366
          47     1.39491     1.38616  0.00058076
          48     1.38465     1.38613 0.000569507
          49     1.38756     1.38616 0.000558634
          50     1.39277     1.38629 0.000562907
          51     1.38403     1.38625 0.000553606
          52     1.38034     1.38613 0.000554485
          53     1.38658     1.38614 0.000544087
          54     1.38777     1.38617 0.000534852
          55     1.37762     1.38601  0.00054723
          56     1.38756     1.38604 0.000538155
          57      1.3858     1.38604 0.000528731
          58       1.386     1.38604 0.000519615
          59     1.38033     1.38594 0.000519724
          60     1.38345      1.3859 0.000512715
          61      1.3786     1.38578  0.00051807
          62     1.38024     1.38569 0.000517372
          63     1.38086     1.38561 0.000514802
          64     1.38822     1.38565 0.000508361
          65     1.39426     1.38579 0.000517498
          66     1.39766     1.38597 0.000540029
          67     1.37769     1.38584 0.000545917
          68     1.39506     1.38598 0.000554449
          69      1.3928     1.38608 0.000555165
          70     1.39119     1.38615 0.000552026
          71     1.38752     1.38617 0.000544589
          72     1.38865      1.3862 0.000538114
          73     1.38741     1.38622 0.000530995
          74     1.38759     1.38624  0.00052414
          75     1.37748     1.38612 0.000530011
          76     1.38726     1.38614  0.00052325
          77     1.38473     1.38612 0.000516774
          78     1.38838     1.38615 0.000510963
          79     1.38564     1.38614 0.000504536
          80     1.38558     1.38613 0.000498278
          81     1.38798     1.38616 0.000492649
          82     1.38309     1.38612 0.000488062
          83     1.38989     1.38617 0.000484286
          84     1.38198     1.38612 0.000481073
          85     1.38365     1.38609 0.000476286
          86     1.38456     1.38607 0.000471078
          87     1.39459     1.38617 0.000475744
          88      1.3813     1.38611 0.000473546
          89     1.38813     1.38613 0.000468767
          90     1.39111     1.38619  0.00046681
          91     1.38326     1.38616 0.000462786
          92     1.38307     1.38612  0.00045897
          93     1.38949     1.38616 0.000455455
          94     1.38493     1.38615 0.000450798
          95     1.38612     1.38615 0.000446053
          96     1.38193      1.3861 0.000443563
          97     1.38969     1.38614 0.000440533
          98     1.38428     1.38612 0.000436447
          99     1.38485     1.38611 0.000432228
         100     1.38595     1.38611 0.000427909
