#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1         1.8         1.8           0
           2         1.8         1.8           0
           3         1.8         1.8           0
           4         1.8         1.8           0
           5         1.8         1.8 9.42432e-09
           6         1.8         1.8           0
           7         1.8         1.8           0
           8         1.8         1.8           0
           9         1.8         1.8           0
          10         1.8         1.8   6.664e-09
          11         1.8         1.8 8.98574e-09
          12         1.8         1.8 1.21667e-08
          13         1.8         1.8 1.16894e-08
          14         1.8         1.8 1.12642e-08
          15         1.8         1.8  1.3328e-08
          16         1.8         1.8 1.29048e-08
          17         1.8         1.8 1.25195e-08
          18         1.8         1.8 1.21667e-08
          19         1.8         1.8 1.18422e-08
          20         1.8         1.8  8.1617e-09
          21         1.8         1.8 7.96501e-09
          22         1.8         1.8           0
          23         1.8         1.8           0
          24         1.8         1.8 7.45058e-09
          25         1.8         1.8 7.30005e-09
          26         1.8         1.8 8.26568e-09
          27         1.8         1.8 9.06856e-09
          28         1.8         1.8  9.7551e-09
          29         1.8         1.8 9.58543e-09
          30         1.8         1.8 1.08823e-08
          31         1.8         1.8 1.13547e-08
          32         1.8         1.8 1.11759e-08
          33         1.8         1.8 1.10052e-08
          34         1.8         1.8 1.14287e-08
          35         1.8         1.8 1.23393e-08
          36         1.8         1.8 1.11067e-08
          37         1.8         1.8 1.09556e-08
          38         1.8         1.8 1.08104e-08
          39         1.8         1.8 1.11918e-08
          40         1.8         1.8 1.15424e-08
          41         1.8         1.8 1.14008e-08
          42         1.8         1.8 1.12642e-08
          43         1.8         1.8  1.1587e-08
          44         1.8         1.8 1.14546e-08
          45         1.8         1.8 1.13266e-08
          46         1.8         1.8 1.12028e-08
          47         1.8         1.8 1.19051e-08
          48         1.8         1.8 1.17804e-08
          49         1.8         1.8 1.16596e-08
          50         1.8         1.8 1.19209e-08
          51         1.8         1.8 1.18035e-08
          52         1.8         1.8 1.16894e-08
          53         1.8         1.8 1.15786e-08
          54         1.8         1.8 1.14709e-08
          55         1.8         1.8 1.13662e-08
          56         1.8         1.8 1.12642e-08
          57         1.8         1.8 1.18422e-08
          58         1.8         1.8 1.17397e-08
          59         1.8         1.8 1.19588e-08
          60         1.8         1.8 1.18587e-08
          61         1.8         1.8 1.17611e-08
          62         1.8         1.8 1.16658e-08
          63         1.8         1.8 1.15729e-08
          64         1.8         1.8 1.14821e-08
          65         1.8         1.8 1.13934e-08
          66         1.8         1.8 1.13068e-08
          67         1.8         1.8 1.12221e-08
          68         1.8         1.8 1.11393e-08
          69         1.8         1.8 1.10583e-08
          70         1.8         1.8  1.0979e-08
          71         1.8         1.8 1.09014e-08
          72         1.8         1.8 1.11067e-08
          73         1.8         1.8 1.10303e-08
          74         1.8         1.8 1.12261e-08
          75         1.8         1.8  1.1151e-08
          76         1.8         1.8 1.10774e-08
          77         1.8         1.8 1.10052e-08
          78         1.8         1.8 1.09345e-08
          79         1.8         1.8  1.0865e-08
          80         1.8         1.8 1.05367e-08
          81         1.8         1.8 1.04715e-08
          82         1.8         1.8 1.04074e-08
          83         1.8         1.8 1.03445e-08
          84         1.8         1.8 1.02828e-08
          85         1.8         1.8 1.02221e-08
          86         1.8         1.8 1.04135e-08
          87         1.8         1.8 1.03535e-08
          88         1.8         1.8 1.02945e-08
          89         1.8         1.8 1.02365e-08
          90         1.8         1.8 1.01794e-08
          91         1.8         1.8 1.01233e-08
          92         1.8         1.8 1.00682e-08
          93         1.8         1.8 1.00139e-08
          94         1.8         1.8 9.96049e-09
          95         1.8         1.8 9.90793e-09
          96         1.8         1.8 9.85619e-09
          97         1.8         1.8 9.80525e-09
          98         1.8         1.8  9.7551e-09
          99         1.8         1.8 9.70571e-09
         100         1.8         1.8 9.65706e-09
