#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.416539   -0.416539           0
           2   -0.416307   -0.416423 8.20097e-05
           3    -0.41073   -0.414525  0.00155027
           4   -0.413782    -0.41434  0.00117379
           5   -0.413042    -0.41408 0.000967275
           6   -0.409423   -0.413304  0.00107319
           7    -0.41941   -0.414176  0.00122407
           8   -0.416962   -0.414524  0.00111949
           9   -0.414638   -0.414537 0.000995171
          10    -0.41652   -0.414735 0.000915193
          11   -0.417116   -0.414952 0.000857204
          12   -0.407129     -0.4143  0.00100348
          13    -0.41441   -0.414308 0.000926328
          14   -0.414028   -0.414288 0.000860379
          15   -0.415359    -0.41436 0.000805975
          16   -0.409803   -0.414075 0.000804338
          17   -0.416964   -0.414245 0.000774774
          18   -0.410156   -0.414018 0.000764309
          19   -0.407957   -0.413699  0.00078784
          20   -0.419293   -0.413978 0.000796556
          21   -0.413147   -0.413939 0.000759609
          22   -0.421743   -0.414294 0.000803659
          23   -0.410076    -0.41411 0.000789364
          24   -0.411444   -0.413999 0.000764251
          25   -0.405646   -0.413665 0.000803408
          26   -0.410336   -0.413537 0.000782641
          27   -0.411176   -0.413449 0.000758523
          28   -0.415026   -0.413506  0.00073352
          29   -0.408601   -0.413337 0.000727466
          30   -0.419941   -0.413557 0.000735771
          31   -0.415554   -0.413621 0.000714851
          32   -0.417518   -0.413743 0.000702809
          33   -0.416292    -0.41382 0.000685744
          34   -0.418527   -0.413959 0.000679403
          35   -0.415056    -0.41399 0.000660715
          36    -0.41451   -0.414004  0.00064252
          37   -0.414921   -0.414029 0.000625631
          38   -0.408319   -0.413879 0.000626952
          39   -0.416413   -0.413944 0.000614233
          40    -0.41517   -0.413975 0.000599641
          41   -0.415041   -0.414001  0.00058558
          42   -0.409678   -0.413898  0.00058061
          43   -0.416132    -0.41395 0.000569427
          44   -0.421028    -0.41411 0.000578763
          45    -0.40984   -0.414016 0.000573629
          46   -0.414724   -0.414031 0.000561366
          47    -0.40509   -0.413841  0.00058076
          48   -0.415346   -0.413872 0.000569507
          49    -0.41244   -0.413843 0.000558634
          50   -0.407228   -0.413711 0.000562907
          51   -0.415967   -0.413755 0.000553606
          52    -0.41966   -0.413868 0.000554485
          53   -0.413422    -0.41386 0.000544087
          54   -0.412226    -0.41383 0.000534852
          55   -0.422375   -0.413985  0.00054723
          56   -0.412438   -0.413957 0.000538155
          57   -0.414201   -0.413962 0.000528731
          58   -0.413999   -0.413962 0.000519615
          59   -0.419666   -0.414059 0.000519724
          60   -0.416548   -0.414101 0.000512715
          61   -0.421396    -0.41422  0.00051807
          62   -0.419763    -0.41431 0.000517372
          63   -0.419137   -0.414386 0.000514802
          64   -0.411784   -0.414345 0.000508361
          65   -0.405739   -0.414213 0.000517498
          66   -0.402338   -0.414033 0.000540029
          67    -0.42231   -0.414157 0.000545917
          68   -0.404943   -0.414021 0.000554449
          69   -0.407197   -0.413922 0.000555165
          70   -0.408805   -0.413849 0.000552026
          71   -0.412476    -0.41383 0.000544589
          72   -0.411349   -0.413795 0.000538114
          73   -0.412593   -0.413779 0.000530995
          74   -0.412414    -0.41376  0.00052414
          75   -0.422522   -0.413877 0.000530011
          76   -0.412736   -0.413862  0.00052325
          77   -0.415271   -0.413881 0.000516774
          78   -0.411617   -0.413852 0.000510963
          79   -0.414361   -0.413858 0.000504536
          80    -0.41442   -0.413865 0.000498278
          81   -0.412016   -0.413842 0.000492649
          82   -0.416913    -0.41388 0.000488062
          83   -0.410114   -0.413834 0.000484286
          84   -0.418016   -0.413884 0.000481073
          85   -0.416348   -0.413913 0.000476286
          86   -0.415439   -0.413931 0.000471078
          87   -0.405406   -0.413833 0.000475744
          88   -0.418703   -0.413888 0.000473546
          89   -0.411872   -0.413866 0.000468767
          90   -0.408888    -0.41381  0.00046681
          91   -0.416736   -0.413842 0.000462786
          92   -0.416929   -0.413876  0.00045897
          93   -0.410515    -0.41384 0.000455455
          94   -0.415069   -0.413853 0.000450798
          95   -0.413876   -0.413853 0.000446053
          96   -0.418069   -0.413897 0.000443563
          97   -0.410306    -0.41386 0.000440533
          98   -0.415722   -0.413879 0.000436447
          99   -0.415152   -0.413892 0.000432228
         100   -0.414053   -0.413893 0.000427909
