# DISTANCE:     AVE_GOFR:        ERROR:
   0.0323165           0           0
   0.0969496           0           0
    0.161583           0           0
    0.226216           0           0
    0.290849           0           0
    0.355482           0           0
    0.420115           0           0
    0.484748           0           0
    0.549381           0           0
    0.614014           0           0
    0.678647           0           0
     0.74328           0           0
    0.807913           0           0
    0.872546   0.0510796  0.00679952
    0.937179     7.96868   0.0884319
     1.00181     57.9085    0.220896
     1.06645     109.502    0.412577
     1.13108     122.497     0.37847
     1.19571      112.69    0.345625
     1.26034       98.84    0.278138
     1.32498     87.4058    0.249584
     1.38961     78.1046    0.230322
     1.45424      72.197    0.212566
     1.51888     67.4538    0.186832
     1.58351     64.0135    0.164873
     1.64814     61.7783    0.128363
     1.71278     60.0554    0.145534
     1.77741     58.8823      0.1433
     1.84204      58.161    0.132581
     1.90667     57.5364    0.121179
     1.97131     57.1148    0.108625
     2.03594      57.189    0.117472
     2.10057     56.7474    0.122258
     2.16521      56.669    0.111787
     2.22984     56.5836     0.10623
     2.29447     56.4041    0.106383
     2.35911     55.9239   0.0900801
     2.42374     55.5446    0.102367
     2.48837     55.3224   0.0949927
     2.55301     55.1192    0.081242
     2.61764      55.051   0.0830749
     2.68227     54.6833   0.0920842
      2.7469     54.6293   0.0922662
     2.81154     54.5182   0.0726177
     2.87617     54.1175   0.0773384
      2.9408     54.2274   0.0663163
     3.00544     54.1965    0.066493
     3.07007     53.8848   0.0798327
      3.1347      53.972   0.0719122
     3.19934     53.8563   0.0666958
     3.26397     53.8237   0.0683428
      3.3286     53.6496   0.0642266
     3.39323     53.7399   0.0679049
     3.45787     53.7631   0.0583602
      3.5225     53.6987   0.0686799
     3.58713     53.4415   0.0602438
     3.65177     53.5751   0.0594064
      3.7164     53.4968   0.0587688
     3.78103      53.478   0.0575134
     3.84567     53.4641   0.0576274
      3.9103     53.4741   0.0516058
     3.97493     53.5169   0.0509358
     4.03957     53.4556   0.0507612
      4.1042     53.4211   0.0543711
     4.16883     53.4074   0.0506625
     4.23346      53.418   0.0511121
      4.2981     53.2869   0.0480695
     4.36273     53.3181   0.0518088
     4.42736     53.3166    0.049745
       4.492     53.3536   0.0499023
     4.55663     53.3723   0.0441758
     4.62126     53.3328   0.0446152
      4.6859     53.4066   0.0478981
     4.75053      53.366   0.0452706
     4.81516     53.2757   0.0462535
     4.87979     53.1948   0.0498221
     4.94443     53.3074   0.0474578
     5.00906     53.3146   0.0478851
     5.07369     53.2407   0.0449463
     5.13833     53.2733   0.0411307
     5.20296     53.2316   0.0411897
     5.26759     53.2927   0.0417072
     5.33223     53.2824   0.0400394
     5.39686     53.2293    0.036009
     5.46149     53.1717    0.038445
     5.52612     53.2835   0.0408872
     5.59076     53.2261   0.0394268
     5.65539     53.3007   0.0392428
     5.72002      53.287   0.0367764
     5.78466     53.2779   0.0335349
     5.84929     53.3449   0.0380497
     5.91392     53.2792   0.0381834
     5.97856     53.2171   0.0382024
     6.04319     53.2504   0.0385406
     6.10782     53.1828   0.0357538
     6.17246     53.2873   0.0384063
     6.23709      53.267   0.0365307
     6.30172     53.2263   0.0349472
     6.36635     53.2009   0.0347255
     6.43099     53.2203   0.0306062
