#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0485726   0.0485726           0
           2   0.0498006   0.0491866 0.000434188
           3   0.0494662   0.0492798 0.000299295
           4   0.0489907   0.0492075 0.000233036
           5   0.0498796   0.0493419 0.000221833
           6   0.0495669   0.0493794 0.000188002
           7   0.0486424   0.0492741 0.000188336
           8   0.0488883   0.0492259 0.000170857
           9   0.0493215   0.0492365 0.000152202
          10   0.0494453   0.0492574 0.000138407
          11   0.0485811   0.0491959  0.00013881
          12   0.0496253   0.0492317 0.000131773
          13    0.049894   0.0492826 0.000131116
          14    0.048874   0.0492535 0.000124957
          15   0.0496784   0.0492818 0.000119795
          16   0.0494371   0.0492915 0.000112701
          17   0.0488907   0.0492679 0.000108509
          18   0.0498457      0.0493 0.000107124
          19   0.0497946    0.049326 0.000104601
          20   0.0487557   0.0492975 0.000103185
          21   0.0492559   0.0492955 9.82901e-05
          22   0.0493508   0.0492981 9.38545e-05
          23   0.0504452   0.0493479 0.000102171
          24   0.0506752   0.0494032 0.000111884
          25   0.0488214     0.04938 0.000109802
          26    0.050096   0.0494075 0.000108978
          27   0.0492844   0.0494029 0.000105037
          28   0.0493064   0.0493995 0.000101342
          29   0.0499967   0.0494201 9.99176e-05
          30   0.0500367   0.0494406 9.86785e-05
          31   0.0492258   0.0494337 9.57383e-05
          32   0.0494073   0.0494329 9.27501e-05
          33   0.0491332   0.0494238  9.0383e-05
          34   0.0490413   0.0494126 8.84221e-05
          35   0.0496269   0.0494187 8.61076e-05
          36   0.0495635   0.0494227 8.38096e-05
          37   0.0493403   0.0494205 8.15741e-05
          38   0.0494823   0.0494221 7.94436e-05
          39   0.0491426   0.0494149 7.77291e-05
          40   0.0486785   0.0493965 7.79355e-05
          41   0.0486475   0.0493783 7.81466e-05
          42   0.0498249   0.0493889  7.7006e-05
          43   0.0488183   0.0493756 7.63501e-05
          44   0.0489218   0.0493653 7.53083e-05
          45    0.049519   0.0493687 7.37123e-05
          46   0.0492937   0.0493671 7.21278e-05
          47   0.0487084   0.0493531 7.19418e-05
          48   0.0480083   0.0493251 7.57015e-05
          49   0.0490255    0.049319  7.4403e-05
          50   0.0496201    0.049325 7.31584e-05
          51   0.0497585   0.0493335  7.2216e-05
          52   0.0493368   0.0493335 7.08272e-05
          53   0.0496205    0.049339 6.96975e-05
          54   0.0489364   0.0493315 6.88043e-05
          55   0.0493149   0.0493312  6.7554e-05
          56   0.0496526   0.0493369  6.6591e-05
          57   0.0493367   0.0493369 6.54227e-05
          58   0.0500665   0.0493495  6.5493e-05
          59   0.0494516   0.0493512 6.44058e-05
          60   0.0495582   0.0493547 6.34247e-05
          61   0.0501556   0.0493678 6.37295e-05
          62   0.0489889   0.0493617  6.2994e-05
          63   0.0493616   0.0493617 6.19941e-05
          64    0.048619   0.0493501 6.21019e-05
          65   0.0495214   0.0493527 6.12024e-05
          66    0.049906   0.0493611 6.08465e-05
          67   0.0493736   0.0493613 5.99386e-05
          68   0.0495888   0.0493647 5.91504e-05
          69   0.0500765    0.049375 5.91861e-05
          70   0.0501545   0.0493861 5.93789e-05
          71   0.0486247   0.0493754 5.95032e-05
          72   0.0499869   0.0493839 5.92797e-05
          73   0.0496136    0.049387 5.85511e-05
          74   0.0495587   0.0493893 5.78059e-05
          75   0.0486853     0.04938 5.77922e-05
          76   0.0495762   0.0493825 5.70895e-05
          77    0.048451   0.0493704 5.76156e-05
          78   0.0494115    0.049371 5.68794e-05
          79   0.0486085   0.0493613 5.69724e-05
          80   0.0493497   0.0493612 5.62604e-05
          81   0.0485836   0.0493516 5.63789e-05
          82   0.0494754   0.0493531 5.57116e-05
          83   0.0497442   0.0493578 5.52393e-05
          84   0.0497477   0.0493624 5.47764e-05
          85     0.04866   0.0493542 5.47518e-05
          86   0.0485617    0.049345 5.48851e-05
          87    0.049625   0.0493482 5.43485e-05
          88   0.0498009   0.0493533 5.39739e-05
          89    0.050169   0.0493625 5.41399e-05
          90   0.0498857   0.0493683 5.38496e-05
          91   0.0500988   0.0493763 5.38528e-05
          92   0.0488473   0.0493706 5.35736e-05
          93   0.0496692   0.0493738 5.30936e-05
          94   0.0486426    0.049366 5.30956e-05
          95   0.0497508   0.0493701  5.2691e-05
          96   0.0496674   0.0493732 5.22331e-05
          97   0.0493154   0.0493726  5.1698e-05
          98   0.0498025   0.0493769 5.13563e-05
          99   0.0500881   0.0493841 5.13375e-05
         100   0.0489571   0.0493799 5.10014e-05
