          28     9.43318     9.49531   0.0135726
          29     9.51868     9.49611   0.0131285
          30     9.47161      9.4953   0.0127162
          31     9.45857     9.49411   0.0123611
          32     9.37703     9.49045   0.0125046
          33     9.51821      9.4913   0.0121539
          34     9.30715     9.48588    0.012947
          35     9.53071     9.48716   0.0126403
          36     9.53432     9.48847   0.0123569
          37      9.5747      9.4908   0.0122407
          38     9.45646      9.4899   0.0119519
          39     9.50011     9.49016   0.0116483
          40     9.38607     9.48756   0.0116441
          41     9.43425     9.48626   0.0114325
          42     9.50143     9.48662    0.011166
          43      9.5308     9.48764   0.0109535
          44     9.41534       9.486   0.0108271
          45     9.45207     9.48525   0.0106127
          46     9.51915     9.48598   0.0104076
          47     9.62292      9.4889   0.0105861
          48     9.40066     9.48706    0.010524
          49     9.47139     9.48674   0.0103141
          50     9.42068     9.48542   0.0101921
           1     9.46573     9.46573           0
           2      9.5234     9.49457   0.0203886
           3     9.67704     9.55539   0.0514883
           4     9.35145      9.5044   0.0586591
           5      9.6214      9.5278   0.0513826
           6     9.47953     9.51976   0.0434441
           7     9.56172     9.52575   0.0376492
           8     9.44451      9.5156   0.0342851
           9     9.56672     9.52128   0.0309426
          10     9.50168     9.51932   0.0279103
          11     9.43674     9.51181   0.0263633
          12     9.42837     9.50486   0.0250666
          13     9.38085     9.49532   0.0248875
          14     9.51275     9.49656   0.0231409
          15     9.50452     9.49709   0.0216043
          16     9.60142     9.50361   0.0212152
          17     9.48358     9.50243        0.02
          18     9.52129     9.50348   0.0189163
          19     9.47423     9.50194   0.0179832
          20     9.46783     9.50024   0.0171647
          21      9.4762     9.49909   0.0163855
          22     9.47304     9.49791   0.0156834
          23     9.38113     9.49283    0.015802
          24     9.54618     9.49505   0.0152991
          25     9.46596     9.49389   0.0147314
          26     9.55178     9.49612   0.0143321
          27     9.53644     9.49761   0.0138788
          28     9.43318     9.49531   0.0135726
          29     9.51868     9.49611   0.0131285
          30     9.47161      9.4953   0.0127162
          31     9.45857     9.49411   0.0123611
          32     9.37703     9.49045   0.0125046
          33     9.51821      9.4913   0.0121539
          34     9.30715     9.48588    0.012947
          35     9.53071     9.48716   0.0126403
          36     9.53432     9.48847   0.0123569
          37      9.5747      9.4908   0.0122407
          38     9.45646      9.4899   0.0119519
          39     9.50011     9.49016   0.0116483
          40     9.38607     9.48756   0.0116441
          41     9.43425     9.48626   0.0114325
          42     9.50143     9.48662    0.011166
          43      9.5308     9.48764   0.0109535
          44     9.41534       9.486   0.0108271
          45     9.45207     9.48525   0.0106127
          46     9.51915     9.48598   0.0104076
          47     9.62292      9.4889   0.0105861
          48     9.40066     9.48706    0.010524
          49     9.47139     9.48674   0.0103141
          50     9.42068     9.48542   0.0101921
           1     9.46573     9.46573           0
           2      9.5234     9.49457   0.0203886
           3     9.67704     9.55539   0.0514883
           4     9.35145      9.5044   0.0586591
           5      9.6214      9.5278   0.0513826
           6     9.47953     9.51976   0.0434441
           7     9.56172     9.52575   0.0376492
           8     9.44451      9.5156   0.0342851
           9     9.56672     9.52128   0.0309426
          10     9.50168     9.51932   0.0279103
          11     9.43674     9.51181   0.0263633
          12     9.42837     9.50486   0.0250666
          13     9.38085     9.49532   0.0248875
          14     9.51275     9.49656   0.0231409
          15     9.50452     9.49709   0.0216043
          16     9.60142     9.50361   0.0212152
          17     9.48358     9.50243        0.02
          18     9.52129     9.50348   0.0189163
          19     9.47423     9.50194   0.0179832
          20     9.46783     9.50024   0.0171647
          21      9.4762     9.49909   0.0163855
          22     9.47304     9.49791   0.0156834
          23     9.38113     9.49283    0.015802
          24     9.54618     9.49505   0.0152991
          25     9.46596     9.49389   0.0147314
          26     9.55178     9.49612   0.0143321
          27     9.53644     9.49761   0.0138788
          28     9.43318     9.49531   0.0135726
          29     9.51868     9.49611   0.0131285
          30     9.47161      9.4953   0.0127162
          31     9.45857     9.49411   0.0123611
          32     9.37703     9.49045   0.0125046
          33     9.51821      9.4913   0.0121539
          34     9.30715     9.48588    0.012947
          35     9.53071     9.48716   0.0126403
          36     9.53432     9.48847   0.0123569
          37      9.5747      9.4908   0.0122407
          38     9.45646      9.4899   0.0119519
          39     9.50011     9.49016   0.0116483
          40     9.38607     9.48756   0.0116441
          41     9.43425     9.48626   0.0114325
          42     9.50143     9.48662    0.011166
          43      9.5308     9.48764   0.0109535
          44     9.41534       9.486   0.0108271
          45     9.45207     9.48525   0.0106127
          46     9.51915     9.48598   0.0104076
