#   N_BLOCK:  ACCEPTANCE:
           1    0.616833
           2     0.61571
           3    0.615426
           4    0.615952
           5    0.615951
           6    0.616204
           7    0.615838
           8    0.615004
           9    0.614967
          10     0.61502
          11    0.614636
          12     0.61485
          13    0.615022
          14     0.61511
          15    0.614981
          16    0.615364
          17    0.615279
          18    0.615425
          19    0.615431
          20    0.615255
          21    0.615024
          22    0.614878
          23    0.615044
          24    0.614987
          25     0.61517
          26    0.615202
          27    0.615263
          28     0.61528
          29    0.615377
          30    0.615228
          31    0.615256
          32    0.615129
          33    0.615124
          34    0.615013
          35     0.61489
          36    0.614923
          37    0.614884
          38    0.615027
          39    0.615005
          40     0.61493
          41    0.614869
          42      0.6148
          43    0.614728
          44    0.614634
          45    0.614751
          46    0.614729
          47    0.614867
          48    0.614826
          49    0.614815
          50     0.61481
          51    0.614727
          52    0.614662
          53    0.614708
          54    0.614725
          55    0.614577
          56    0.614566
          57    0.614533
          58    0.614473
          59    0.614401
          60    0.614371
          61    0.614269
          62    0.614242
          63     0.61419
          64    0.614208
          65    0.614265
          66    0.614344
          67    0.614309
          68    0.614353
          69    0.614378
          70    0.614404
          71    0.614411
          72    0.614461
          73    0.614453
          74    0.614442
          75    0.614392
          76    0.614396
          77    0.614358
          78    0.614347
          79    0.614331
          80    0.614314
          81     0.61428
          82    0.614229
          83    0.614217
          84    0.614197
          85    0.614189
          86    0.614202
          87    0.614205
          88    0.614145
          89    0.614142
          90    0.614158
          91     0.61413
          92    0.614099
          93    0.614106
          94    0.614059
          95    0.614053
          96     0.61401
          97     0.61403
          98    0.614044
          99    0.614069
         100    0.614047
